Myriel, Geborand
Myriel, Champtercier
Myriel, Count
Myriel, OldMan
Myriel, Valjean
Napoleon, Myriel
MlleBaptistine, Myriel
MlleBaptistine, Valjean
MlleBaptistine, MmeMagloire
MmeMagloire, Myriel
MmeMagloire, Maria
Champtercier, Myriel
Valjean, Myriel
Valjean, MmeMagloire
Valjean, Labarre
Valjean, Marguerite
Valjean, MmeDeR
Valjean, Isabeau
Valjean, Fantine
Valjean, Cosette
Valjean, Simplice
Valjean, Woman1
Valjean, Judge
Valjean, Woman2
Valjean, Gillenormand
Valjean, MlleGillenormand
Valjean, Babet
Valjean, Montparnasse
Maria, Carlos
Maria, Ana
Carlos, Ana
Carlos, Maria
Ana, Maria
Enola, Alba
Enola, Ebba
Enola, Maria
Enola, Juana
Enola, Sherlock
Enola, John
Monica, Rachel
